timestamp_utc,campaign_status,memory_free_percent,swap_used_mb
2026-07-19T11:50:30.674394+00:00,running,18,2510.06
2026-07-19T11:51:30.857739+00:00,running,18,2462.06
2026-07-19T11:52:31.042038+00:00,running,17,2485.12
2026-07-19T11:53:31.244927+00:00,running,17,2455.44
2026-07-19T11:54:31.444303+00:00,running,17,2471.06
2026-07-19T11:55:31.523897+00:00,running,17,2503.5
2026-07-19T11:56:31.623893+00:00,running,18,2463.5
2026-07-19T11:57:31.720859+00:00,running,17,2800.56
2026-07-19T11:58:31.828905+00:00,running,16,2752.56
2026-07-19T11:59:31.885445+00:00,running,21,2678.25
2026-07-19T12:00:32.092345+00:00,running,17,2504.94
2026-07-19T12:01:32.306643+00:00,running,17,2424.94
2026-07-19T12:02:32.515846+00:00,running,17,2487.94
2026-07-19T12:03:32.616578+00:00,running,17,2493.12
2026-07-19T12:04:32.695887+00:00,running,16,2508.19
2026-07-19T12:05:32.770454+00:00,running,18,2515.44
2026-07-19T12:06:32.832675+00:00,running,16,2480.56
2026-07-19T12:07:32.900062+00:00,running,17,2509.94
2026-07-19T12:08:33.029161+00:00,running,17,2500.94
2026-07-19T12:09:33.193641+00:00,running,17,2493.06
2026-07-19T12:10:33.301070+00:00,running,22,2406.06
2026-07-19T12:11:33.386987+00:00,running,17,2406.31
2026-07-19T12:12:33.464671+00:00,running,19,2405.62
2026-07-19T12:13:33.553029+00:00,running,19,2381.62
2026-07-19T12:14:33.681446+00:00,running,19,2421.25
2026-07-19T12:15:33.726111+00:00,running,20,2389.25
2026-07-19T12:16:33.867909+00:00,running,19,2373.25
2026-07-19T12:17:33.982424+00:00,running,19,2179.0
2026-07-19T12:18:34.026413+00:00,running,21,2237.44
2026-07-19T12:19:34.184742+00:00,running,21,2235.31
2026-07-19T12:20:34.242219+00:00,running,20,2227.31
2026-07-19T12:21:34.305605+00:00,running,21,2219.31
2026-07-19T12:22:34.351216+00:00,running,20,2211.31
2026-07-19T12:23:34.415782+00:00,running,20,2223.06
2026-07-19T12:24:34.555040+00:00,running,18,2242.12
2026-07-19T12:25:34.673544+00:00,running,20,2271.5
2026-07-19T12:26:34.766908+00:00,running,19,2231.5
2026-07-19T12:27:34.856792+00:00,running,20,2227.0
2026-07-19T12:28:35.014868+00:00,running,20,2195.0
2026-07-19T12:29:35.186018+00:00,running,19,2179.0
2026-07-19T12:30:35.400199+00:00,running,20,2232.56
2026-07-19T12:31:35.540644+00:00,running,20,2227.56
2026-07-19T12:32:35.715083+00:00,running,21,2281.44
2026-07-19T12:33:35.817055+00:00,running,19,2163.56
2026-07-19T12:34:35.874736+00:00,running,19,2187.19
2026-07-19T12:35:36.064994+00:00,running,21,2237.19
2026-07-19T12:36:36.158710+00:00,running,20,2229.19
2026-07-19T12:37:36.331879+00:00,running,21,2245.75
2026-07-19T12:38:36.493566+00:00,running,20,2229.75
2026-07-19T12:39:36.659744+00:00,running,22,2241.94
2026-07-19T12:40:36.836388+00:00,running,20,2193.94
2026-07-19T12:41:36.948326+00:00,running,21,2254.62
2026-07-19T12:42:37.029837+00:00,running,20,2182.62
2026-07-19T12:43:37.056054+00:00,running,20,2166.62
2026-07-19T12:44:37.191849+00:00,running,22,2272.44
2026-07-19T12:45:37.276451+00:00,running,22,2256.44
2026-07-19T12:46:37.474377+00:00,running,20,2200.44
2026-07-19T12:47:37.579435+00:00,running,19,2180.19
2026-07-19T12:48:37.738097+00:00,running,22,2227.56
2026-07-19T12:49:37.891425+00:00,running,21,2211.56
2026-07-19T12:50:38.082252+00:00,running,20,2230.88
2026-07-19T12:51:38.201923+00:00,running,20,2214.88
2026-07-19T12:52:38.228616+00:00,running,21,2227.62
2026-07-19T12:53:38.393883+00:00,running,20,2195.62
2026-07-19T12:54:38.566220+00:00,running,20,2179.62
2026-07-19T12:55:38.690941+00:00,running,19,2163.62
2026-07-19T12:56:38.863385+00:00,running,21,2235.5
2026-07-19T12:57:39.020377+00:00,running,21,2227.5
2026-07-19T12:58:39.068550+00:00,running,21,2211.5
2026-07-19T12:59:39.176725+00:00,running,21,2203.5
2026-07-19T13:00:39.243606+00:00,running,21,2208.25
2026-07-19T13:01:39.274232+00:00,running,20,2176.25
2026-07-19T13:02:39.435257+00:00,running,20,2200.94
2026-07-19T13:03:39.624431+00:00,running,20,2192.94
2026-07-19T13:04:39.667128+00:00,running,19,2184.94
2026-07-19T13:05:39.842398+00:00,running,21,2218.06
2026-07-19T13:06:40.035983+00:00,running,19,2189.19
2026-07-19T13:07:40.199495+00:00,running,21,2316.94
2026-07-19T13:08:40.261713+00:00,running,22,2297.25
